order_id,customer_id,ordered_at,payment_method,order_status,is_successful,total_unique_items,total_quantity_items,gross_revenue,discount_amount,shipping_cost,net_revenue,total_cost,net_profit
ORD_000088,CUST_00658,2026-02-14 09:58:04,UPI,Completed,true,1,1,69.99,0.00,0.00,69.99,25.00,44.99
ORD_000089,CUST_00270,2025-09-27 02:21:18,PayPal,Completed,true,1,3,104.97,10.00,0.00,94.97,30.00,64.97
ORD_000090,CUST_00684,2025-07-16 00:35:53,Buy Now Pay Later,Completed,true,2,3,62.97,10.00,0.00,52.97,18.00,34.97
ORD_000091,CUST_00839,2025-11-11 05:23:15,UPI,Completed,true,4,10,769.93,0.00,0.00,769.93,256.00,513.93
ORD_000092,CUST_00923,2026-01-31 13:36:45,PayPal,Refunded,false,2,2,124.99,0.00,4.99,129.98,40.00,89.98
ORD_000093,CUST_00828,2025-06-24 17:14:55,PayPal,Completed,true,1,3,389.97,15.00,4.99,379.96,165.00,214.96
ORD_000094,CUST_00152,2026-02-23 12:28:06,Buy Now Pay Later,Refunded,false,1,2,259.98,0.00,4.99,264.97,110.00,154.97
ORD_000095,CUST_00566,2025-12-26 22:28:44,Credit Card,Completed,true,2,3,194.97,10.00,4.99,189.96,80.00,109.96
ORD_000096,CUST_00152,2026-01-28 13:06:54,Apple Pay,Refunded,false,2,5,319.97,10.00,0.00,309.97,110.00,199.97
ORD_000097,CUST_00899,2025-12-10 18:11:14,UPI,Completed,true,1,1,39.99,10.00,9.99,39.98,12.00,27.98
ORD_000098,CUST_00177,2025-09-15 23:34:52,UPI,Completed,true,1,1,85.00,15.00,9.99,79.99,25.00,54.99
ORD_000099,CUST_00406,2026-02-03 09:24:10,Credit Card,Cancelled,false,1,2,79.98,0.00,4.99,84.97,24.00,60.97
ORD_000100,CUST_00838,2026-02-08 04:19:03,Credit Card,Completed,true,1,1,39.99,15.00,9.99,34.98,12.00,22.98
ORD_000101,CUST_00138,2025-09-14 00:12:20,UPI,Cancelled,false,1,3,449.97,0.00,9.99,459.96,195.00,264.96
ORD_000102,CUST_00662,2025-10-12 22:19:39,Buy Now Pay Later,Completed,true,1,2,39.98,15.00,4.99,29.97,12.00,17.97
ORD_000103,CUST_00841,2025-08-24 13:07:01,UPI,Refunded,false,2,4,309.96,15.00,9.99,304.95,121.00,183.95
ORD_000104,CUST_00901,2026-01-08 12:49:55,Credit Card,Completed,true,1,2,49.98,0.00,0.00,49.98,16.00,33.98
ORD_000105,CUST_00052,2025-09-23 10:25:53,UPI,Cancelled,false,1,3,330.00,5.00,9.99,334.99,144.00,190.99
ORD_000106,CUST_00946,2025-11-01 13:08:43,UPI,Cancelled,false,1,1,110.00,5.00,9.99,114.99,48.00,66.99
ORD_000107,CUST_00984,2025-12-29 17:01:49,Credit Card,Refunded,false,2,3,309.99,0.00,9.99,319.98,126.00,193.98
ORD_000108,CUST_00396,2025-08-07 21:03:02,Apple Pay,Completed,true,3,8,419.92,15.00,0.00,404.92,144.00,260.92
ORD_000109,CUST_00021,2025-08-17 05:31:03,Apple Pay,Completed,true,3,9,869.91,0.00,9.99,879.90,330.00,549.90
ORD_000110,CUST_00282,2025-12-06 21:16:43,Buy Now Pay Later,Completed,true,3,8,234.92,5.00,4.99,234.91,77.00,157.91
ORD_000111,CUST_00105,2025-09-03 11:03:13,UPI,Refunded,false,4,8,380.93,15.00,0.00,365.93,134.00,231.93
ORD_000112,CUST_00333,2025-11-16 21:45:50,PayPal,Completed,true,2,4,134.96,0.00,9.99,144.95,46.00,98.95
ORD_000113,CUST_00414,2026-02-21 10:27:00,UPI,Completed,true,2,4,239.96,0.00,4.99,244.95,94.00,150.95
ORD_000114,CUST_00755,2025-05-01 08:09:01,PayPal,Refunded,false,2,6,179.94,0.00,9.99,189.93,54.00,135.93
ORD_000115,CUST_00654,2026-01-25 22:18:59,Buy Now Pay Later,Cancelled,false,1,1,59.99,0.00,9.99,69.98,22.00,47.98
ORD_000116,CUST_00301,2025-09-20 01:49:03,PayPal,Completed,true,1,3,104.97,15.00,9.99,99.96,30.00,69.96
ORD_000117,CUST_00922,2026-01-04 00:18:34,Apple Pay,Cancelled,false,1,2,220.00,0.00,9.99,229.99,96.00,133.99
ORD_000118,CUST_00808,2026-01-25 06:16:20,Credit Card,Completed,true,1,2,69.98,0.00,4.99,74.97,20.00,54.97
ORD_000119,CUST_00055,2026-02-10 02:57:17,Buy Now Pay Later,Refunded,false,2,4,474.97,5.00,0.00,469.97,190.00,279.97
ORD_000120,CUST_00391,2025-11-04 20:08:47,Apple Pay,Completed,true,1,2,79.98,0.00,0.00,79.98,30.00,49.98
ORD_000121,CUST_00584,2025-12-26 11:38:20,Apple Pay,Completed,true,1,3,269.97,0.00,4.99,274.96,90.00,184.96
ORD_000122,CUST_00182,2026-01-27 06:08:42,PayPal,Cancelled,false,1,3,89.97,0.00,0.00,89.97,33.00,56.97
ORD_000123,CUST_00783,2025-10-10 02:44:00,UPI,Completed,true,2,4,339.96,10.00,4.99,334.95,140.00,194.95
ORD_000124,CUST_00989,2026-02-10 12:20:18,Apple Pay,Completed,true,1,1,22.99,0.00,9.99,32.98,6.00,26.98
ORD_000125,CUST_00914,2025-07-06 01:14:31,PayPal,Refunded,false,1,1,79.99,15.00,9.99,74.98,35.00,39.98
ORD_000126,CUST_00711,2025-12-17 23:56:37,Apple Pay,Completed,true,1,1,69.99,10.00,9.99,69.98,25.00,44.98
ORD_000127,CUST_00067,2025-07-16 11:46:31,PayPal,Completed,true,3,6,189.94,0.00,4.99,194.93,58.00,136.93
ORD_000128,CUST_00769,2026-01-29 22:09:26,PayPal,Completed,true,3,5,429.95,0.00,9.99,439.94,175.00,264.94
ORD_000129,CUST_00604,2025-11-28 23:25:24,Apple Pay,Completed,true,1,3,599.97,5.00,9.99,604.96,270.00,334.96
ORD_000130,CUST_00639,2025-11-15 14:19:25,UPI,Refunded,false,4,8,859.94,5.00,4.99,859.93,355.00,504.93
ORD_000131,CUST_00719,2026-01-05 19:41:46,Credit Card,Completed,true,2,6,419.94,5.00,9.99,424.93,171.00,253.93
ORD_000132,CUST_00277,2025-11-27 11:38:03,Buy Now Pay Later,Refunded,false,2,3,119.97,10.00,9.99,119.96,46.00,73.96
ORD_000133,CUST_00117,2026-02-14 01:51:42,Buy Now Pay Later,Completed,true,1,1,85.00,0.00,4.99,89.99,25.00,64.99
ORD_000134,CUST_00367,2025-12-15 19:22:29,UPI,Completed,true,1,2,45.98,5.00,0.00,40.98,12.00,28.98
ORD_000135,CUST_00241,2025-07-30 20:13:14,PayPal,Completed,true,2,4,154.96,15.00,4.99,144.95,50.00,94.95
ORD_000136,CUST_00077,2026-01-08 13:59:40,Credit Card,Completed,true,2,2,89.98,0.00,4.99,94.97,33.00,61.97
ORD_000137,CUST_00896,2025-03-18 16:40:29,Credit Card,Completed,true,1,1,149.99,5.00,9.99,154.98,65.00,89.98
ORD_000138,CUST_00872,2025-02-18 05:47:43,Apple Pay,Completed,true,3,6,639.96,5.00,9.99,644.95,251.00,393.95
ORD_000139,CUST_00835,2025-08-30 22:43:25,UPI,Completed,true,1,3,209.97,5.00,4.99,209.96,75.00,134.96
ORD_000140,CUST_00872,2026-01-20 01:29:38,Credit Card,Completed,true,2,2,139.98,0.00,9.99,149.97,50.00,99.97
ORD_000141,CUST_00427,2026-01-24 19:30:03,Credit Card,Completed,true,3,7,429.93,0.00,9.99,439.92,148.00,291.92
ORD_000142,CUST_00495,2026-02-17 06:16:12,Apple Pay,Completed,true,3,7,1019.93,0.00,9.99,1029.92,446.00,583.92
ORD_000143,CUST_00538,2026-02-16 20:33:49,Buy Now Pay Later,Cancelled,false,2,6,464.94,15.00,4.99,454.93,165.00,289.93
ORD_000144,CUST_00718,2026-01-14 17:31:52,UPI,Completed,true,1,1,119.99,5.00,4.99,119.98,45.00,74.98
ORD_000145,CUST_00860,2026-02-24 02:23:01,Buy Now Pay Later,Refunded,false,3,5,649.97,15.00,0.00,634.97,265.00,369.97
ORD_000146,CUST_00077,2026-02-15 11:35:36,PayPal,Completed,true,1,3,104.97,0.00,9.99,114.96,30.00,84.96
ORD_000147,CUST_00659,2026-01-27 12:58:22,Credit Card,Completed,true,3,6,389.94,10.00,4.99,384.93,152.00,232.93
ORD_000148,CUST_00122,2026-02-21 16:59:22,Buy Now Pay Later,Cancelled,false,2,4,219.96,5.00,0.00,214.96,85.00,129.96
ORD_000149,CUST_00846,2025-12-01 18:06:23,UPI,Refunded,false,4,6,227.94,15.00,9.99,222.93,74.00,148.93
ORD_000150,CUST_00865,2026-01-19 21:59:10,Apple Pay,Completed,true,2,5,334.98,15.00,9.99,329.97,99.00,230.97
ORD_000151,CUST_00117,2025-05-23 03:32:47,Apple Pay,Cancelled,false,1,3,449.97,0.00,9.99,459.96,195.00,264.96
ORD_000152,CUST_00535,2026-01-13 14:38:36,UPI,Cancelled,false,1,1,89.99,5.00,0.00,84.99,30.00,54.99
ORD_000153,CUST_00261,2026-01-11 13:10:20,PayPal,Completed,true,1,3,209.97,0.00,4.99,214.96,75.00,139.96
ORD_000154,CUST_00347,2025-04-28 14:32:36,UPI,Completed,true,1,3,104.97,0.00,4.99,109.96,30.00,79.96
ORD_000155,CUST_00604,2025-11-28 19:21:35,Buy Now Pay Later,Completed,true,4,8,789.92,10.00,4.99,784.91,335.00,449.91
ORD_000156,CUST_00749,2025-11-16 20:18:53,Buy Now Pay Later,Completed,true,1,2,170.00,10.00,4.99,164.99,50.00,114.99
ORD_000157,CUST_00429,2026-02-22 11:38:33,UPI,Cancelled,false,2,2,104.98,0.00,4.99,109.97,35.00,74.97
ORD_000158,CUST_00423,2026-02-18 05:44:05,PayPal,Completed,true,3,7,727.96,15.00,0.00,712.96,276.00,436.96
ORD_000159,CUST_00298,2025-12-07 10:07:02,Apple Pay,Cancelled,false,1,3,269.97,10.00,9.99,269.96,90.00,179.96
ORD_000160,CUST_00119,2026-02-21 04:41:45,UPI,Completed,true,2,6,359.97,15.00,9.99,354.96,105.00,249.96
ORD_000161,CUST_00916,2026-01-23 15:48:45,UPI,Completed,true,3,5,189.95,0.00,0.00,189.95,65.00,124.95
ORD_000162,CUST_00058,2025-05-12 09:26:25,PayPal,Completed,true,2,4,269.96,15.00,4.99,259.95,96.00,163.95
ORD_000163,CUST_00804,2026-01-30 00:16:38,Buy Now Pay Later,Completed,true,2,6,929.97,5.00,0.00,924.97,414.00,510.97
ORD_000164,CUST_00576,2026-01-13 05:41:13,Apple Pay,Completed,true,2,6,278.94,0.00,9.99,288.93,93.00,195.93
ORD_000165,CUST_00049,2025-12-19 18:32:07,Credit Card,Completed,true,1,3,449.97,10.00,0.00,439.97,195.00,244.97
ORD_000166,CUST_00258,2025-10-05 06:32:56,Buy Now Pay Later,Refunded,false,3,5,499.96,10.00,9.99,499.95,194.00,305.95
ORD_000167,CUST_00302,2026-02-12 14:58:40,Credit Card,Completed,true,4,9,604.91,0.00,4.99,609.90,216.00,393.90
ORD_000168,CUST_00134,2025-11-02 23:01:49,Credit Card,Refunded,false,3,6,469.94,15.00,0.00,454.94,198.00,256.94
ORD_000169,CUST_00053,2025-08-23 08:35:36,Apple Pay,Completed,true,2,4,178.97,0.00,9.99,188.96,66.00,122.96
ORD_000170,CUST_00980,2026-02-02 15:34:52,Buy Now Pay Later,Refunded,false,1,3,89.97,0.00,4.99,94.96,24.00,70.96
ORD_000171,CUST_00414,2025-11-03 00:39:11,Apple Pay,Completed,true,1,2,49.98,15.00,4.99,39.97,16.00,23.97
ORD_000172,CUST_00301,2025-11-06 00:08:55,Apple Pay,Refunded,false,2,3,125.97,0.00,9.99,135.96,47.00,88.96
ORD_000173,CUST_00927,2026-02-26 19:08:03,UPI,Refunded,false,1,1,199.99,15.00,4.99,189.98,90.00,99.98
ORD_000174,CUST_00396,2025-10-27 05:52:00,Buy Now Pay Later,Refunded,false,2,4,219.96,0.00,9.99,229.95,86.00,143.95
ORD_000175,CUST_00045,2025-08-28 03:57:04,PayPal,Cancelled,false,1,3,89.97,0.00,0.00,89.97,24.00,65.97
ORD_000176,CUST_00547,2025-04-13 02:34:27,Credit Card,Cancelled,false,1,1,24.99,15.00,4.99,14.98,8.00,6.98
ORD_000177,CUST_00551,2026-02-06 21:22:17,Apple Pay,Cancelled,false,2,2,169.98,0.00,4.99,174.97,70.00,104.97
ORD_000178,CUST_00076,2025-10-13 17:29:34,Apple Pay,Completed,true,2,4,305.96,10.00,0.00,295.96,122.00,173.96
ORD_000179,CUST_00462,2026-02-02 14:53:31,Buy Now Pay Later,Completed,true,1,1,69.99,15.00,0.00,54.99,25.00,29.99
ORD_000180,CUST_00657,2025-11-27 19:10:56,Credit Card,Refunded,false,1,2,69.98,0.00,9.99,79.97,20.00,59.97
ORD_000181,CUST_00951,2026-01-28 17:03:07,Apple Pay,Completed,true,1,2,119.98,10.00,0.00,109.98,44.00,65.98
ORD_000182,CUST_00391,2025-09-13 12:24:57,PayPal,Cancelled,false,1,3,269.97,10.00,0.00,259.97,90.00,169.97
ORD_000183,CUST_00401,2026-01-26 01:48:05,PayPal,Completed,true,4,6,449.95,10.00,9.99,449.94,190.00,259.94
ORD_000184,CUST_00611,2026-02-10 23:05:16,Apple Pay,Refunded,false,2,3,249.97,0.00,9.99,259.96,99.00,160.96
ORD_000185,CUST_00928,2025-11-30 14:46:15,Apple Pay,Refunded,false,1,1,89.99,0.00,9.99,99.98,30.00,69.98
ORD_000186,CUST_00118,2025-06-03 13:40:26,Buy Now Pay Later,Cancelled,false,2,3,245.97,5.00,9.99,250.96,102.00,148.96
ORD_000187,CUST_00688,2025-04-19 15:16:42,Apple Pay,Completed,true,1,1,34.99,5.00,4.99,34.98,10.00,24.98
ORD_000188,CUST_00688,2025-12-04 00:51:46,Apple Pay,Completed,true,1,2,170.00,0.00,0.00,170.00,50.00,120.00
ORD_000189,CUST_00462,2026-01-18 20:13:53,Apple Pay,Refunded,false,2,4,149.96,10.00,9.99,149.95,50.00,99.95
ORD_000190,CUST_00173,2025-08-31 01:09:22,UPI,Completed,true,1,2,239.98,15.00,9.99,234.97,90.00,144.97
ORD_000191,CUST_00861,2025-11-01 03:02:06,Apple Pay,Completed,true,2,4,379.96,5.00,4.99,379.95,154.00,225.95
ORD_000192,CUST_00565,2025-12-19 18:55:45,PayPal,Completed,true,2,5,364.95,0.00,9.99,374.94,140.00,234.94
ORD_000193,CUST_00908,2025-03-26 22:41:44,Credit Card,Cancelled,false,1,3,239.97,10.00,9.99,239.96,105.00,134.96
ORD_000194,CUST_00593,2026-01-19 13:49:48,Buy Now Pay Later,Refunded,false,1,3,599.97,10.00,4.99,594.96,270.00,324.96
ORD_000195,CUST_00484,2025-12-17 13:37:27,PayPal,Completed,true,1,2,69.98,15.00,4.99,59.97,20.00,39.97
ORD_000196,CUST_00514,2026-02-02 00:58:40,PayPal,Completed,true,1,3,89.97,0.00,9.99,99.96,24.00,75.96
ORD_000197,CUST_00701,2025-04-13 04:49:38,Buy Now Pay Later,Refunded,false,1,3,269.97,0.00,9.99,279.96,90.00,189.96
ORD_000198,CUST_00894,2025-09-10 20:05:24,PayPal,Cancelled,false,2,3,509.98,0.00,4.99,514.97,228.00,286.97
ORD_000199,CUST_00379,2025-09-03 14:53:09,UPI,Completed,true,2,2,139.99,5.00,4.99,139.98,56.00,83.98
ORD_000200,CUST_00665,2025-08-11 07:05:33,Buy Now Pay Later,Completed,true,2,6,194.94,15.00,4.99,184.93,54.00,130.93
ORD_000201,CUST_00179,2025-09-18 21:39:02,Buy Now Pay Later,Cancelled,false,1,2,69.98,15.00,0.00,54.98,20.00,34.98
ORD_000202,CUST_00386,2025-11-13 22:31:27,Buy Now Pay Later,Refunded,false,1,1,110.00,5.00,4.99,109.99,48.00,61.99
