order_id,customer_id,order_timestamp,payment_method,order_status,shipping_cost,discount_amount
ORD_000032,CUST_00602,2025-09-29 09:19:14,Buy Now Pay Later,Completed,4.99,0.0
ORD_000033,CUST_00644,2026-02-20 19:40:46,Buy Now Pay Later,Refunded,9.99,0.0
ORD_000034,CUST_00157,2025-09-18 19:11:15,Buy Now Pay Later,Completed,0.0,0.0
ORD_000035,CUST_00401,2026-02-02 23:32:10,PayPal,Cancelled,4.99,15.0
ORD_000036,CUST_00089,2026-02-09 15:11:54,Apple Pay,Completed,0.0,10.0
ORD_000037,CUST_00760,2025-11-30 15:47:07,Credit Card,Cancelled,0.0,15.0
ORD_000038,CUST_00509,2025-09-23 05:44:48,Apple Pay,Refunded,0.0,0.0
ORD_000039,CUST_00790,2025-11-17 14:19:24,Buy Now Pay Later,Completed,9.99,0.0
ORD_000040,CUST_00467,2026-01-07 03:00:49,PayPal,Completed,4.99,0.0
ORD_000041,CUST_00792,2025-09-27 03:02:33,Credit Card,Refunded,9.99,15.0
ORD_000042,CUST_00251,2025-08-21 10:35:54,Buy Now Pay Later,Completed,0.0,0.0
ORD_000043,CUST_00759,2026-01-19 20:55:04,Apple Pay,Completed,9.99,5.0
ORD_000044,CUST_00846,2025-11-29 05:28:57,PayPal,Refunded,0.0,15.0
ORD_000045,CUST_00824,2026-01-15 12:09:36,Buy Now Pay Later,Completed,0.0,0.0
ORD_000046,CUST_00299,2025-10-02 10:14:07,UPI,Completed,9.99,0.0
ORD_000047,CUST_00923,2026-02-06 08:13:10,Buy Now Pay Later,Completed,0.0,0.0
ORD_000048,CUST_00652,2025-06-27 21:35:48,Apple Pay,Completed,9.99,15.0
ORD_000049,CUST_00211,2025-07-26 00:59:03,Apple Pay,Completed,9.99,0.0
ORD_000050,CUST_00045,2025-07-08 16:58:59,Credit Card,Refunded,9.99,5.0
ORD_000051,CUST_00098,2025-09-16 12:18:50,Credit Card,Completed,9.99,10.0
ORD_000052,CUST_00988,2025-10-01 02:02:53,Apple Pay,Completed,9.99,5.0
ORD_000053,CUST_00464,2025-10-23 11:52:32,Credit Card,Completed,9.99,0.0
ORD_000054,CUST_00109,2025-05-22 11:52:17,Apple Pay,Completed,9.99,0.0
ORD_000055,CUST_00463,2025-06-09 16:39:37,Apple Pay,Completed,0.0,0.0
ORD_000056,CUST_00714,2026-02-06 02:59:24,PayPal,Completed,0.0,0.0
ORD_000057,CUST_00406,2026-02-21 01:24:48,UPI,Completed,4.99,0.0
ORD_000058,CUST_00564,2025-09-05 17:31:08,Credit Card,Completed,0.0,0.0
ORD_000059,CUST_00134,2025-11-10 04:24:51,Apple Pay,Completed,9.99,10.0
ORD_000060,CUST_00023,2025-12-25 10:24:40,Credit Card,Completed,0.0,0.0
ORD_000061,CUST_00947,2026-02-17 23:03:02,UPI,Completed,9.99,5.0
ORD_000062,CUST_00931,2025-05-21 11:42:47,Buy Now Pay Later,Completed,9.99,0.0
ORD_000063,CUST_00252,2026-02-04 18:37:18,Credit Card,Completed,0.0,5.0
ORD_000064,CUST_00393,2025-07-09 17:18:01,Buy Now Pay Later,Completed,9.99,0.0
ORD_000065,CUST_00392,2026-02-10 14:28:38,Buy Now Pay Later,Cancelled,4.99,5.0
ORD_000066,CUST_00330,2026-01-28 07:29:07,Credit Card,Completed,0.0,10.0
ORD_000067,CUST_00060,2025-11-08 10:36:23,Credit Card,Refunded,0.0,0.0
ORD_000068,CUST_00673,2025-11-06 01:32:18,Apple Pay,Completed,4.99,10.0
ORD_000069,CUST_00243,2025-11-28 23:16:14,Apple Pay,Cancelled,9.99,15.0
ORD_000070,CUST_00146,2025-10-17 12:00:07,Credit Card,Completed,0.0,0.0
ORD_000071,CUST_00225,2025-12-30 03:17:50,PayPal,Refunded,0.0,10.0
ORD_000072,CUST_00735,2025-12-22 05:09:25,PayPal,Completed,9.99,10.0
ORD_000073,CUST_00867,2026-01-17 12:58:23,PayPal,Completed,4.99,0.0
ORD_000074,CUST_00984,2026-01-01 03:49:59,Apple Pay,Cancelled,9.99,15.0
ORD_000075,CUST_00682,2025-10-03 06:16:22,Credit Card,Completed,0.0,0.0
ORD_000076,CUST_00972,2025-10-16 11:23:07,Buy Now Pay Later,Completed,4.99,10.0
ORD_000077,CUST_00107,2026-02-08 07:28:42,Apple Pay,Completed,4.99,0.0
ORD_000078,CUST_00652,2025-07-28 15:09:10,PayPal,Cancelled,4.99,0.0
ORD_000079,CUST_00070,2025-11-21 16:59:38,UPI,Completed,4.99,5.0
ORD_000080,CUST_00505,2025-12-03 01:36:17,PayPal,Completed,9.99,10.0
ORD_000081,CUST_00076,2025-10-09 16:18:00,Apple Pay,Completed,0.0,0.0
ORD_000082,CUST_00910,2025-09-15 19:26:47,Buy Now Pay Later,Completed,9.99,0.0
ORD_000083,CUST_00032,2025-08-07 22:04:11,Credit Card,Cancelled,0.0,0.0
ORD_000084,CUST_00211,2025-06-18 14:46:54,Apple Pay,Completed,4.99,15.0
ORD_000085,CUST_00051,2025-11-04 02:05:08,Credit Card,Refunded,4.99,0.0
ORD_000086,CUST_00302,2026-02-27 07:46:00,Apple Pay,Completed,0.0,0.0
ORD_000087,CUST_00485,2026-02-21 02:12:35,Apple Pay,Completed,4.99,5.0
ORD_000088,CUST_00658,2026-02-14 09:58:04,UPI,Completed,0.0,0.0
ORD_000089,CUST_00270,2025-09-27 02:21:18,PayPal,Completed,0.0,10.0
ORD_000090,CUST_00684,2025-07-16 00:35:53,Buy Now Pay Later,Completed,0.0,10.0
ORD_000091,CUST_00839,2025-11-11 05:23:15,UPI,Completed,0.0,0.0
ORD_000092,CUST_00923,2026-01-31 13:36:45,PayPal,Refunded,4.99,0.0
ORD_000093,CUST_00828,2025-06-24 17:14:55,PayPal,Completed,4.99,15.0
ORD_000094,CUST_00152,2026-02-23 12:28:06,Buy Now Pay Later,Refunded,4.99,0.0
ORD_000095,CUST_00566,2025-12-26 22:28:44,Credit Card,Completed,4.99,10.0
ORD_000096,CUST_00152,2026-01-28 13:06:54,Apple Pay,Refunded,0.0,10.0
ORD_000097,CUST_00899,2025-12-10 18:11:14,UPI,Completed,9.99,10.0
ORD_000098,CUST_00177,2025-09-15 23:34:52,UPI,Completed,9.99,15.0
ORD_000099,CUST_00406,2026-02-03 09:24:10,Credit Card,Cancelled,4.99,0.0
ORD_000100,CUST_00838,2026-02-08 04:19:03,Credit Card,Completed,9.99,15.0
ORD_000101,CUST_00138,2025-09-14 00:12:20,UPI,Cancelled,9.99,0.0
ORD_000102,CUST_00662,2025-10-12 22:19:39,Buy Now Pay Later,Completed,4.99,15.0
ORD_000103,CUST_00841,2025-08-24 13:07:01,UPI,Refunded,9.99,15.0
ORD_000104,CUST_00901,2026-01-08 12:49:55,Credit Card,Completed,0.0,0.0
ORD_000105,CUST_00052,2025-09-23 10:25:53,UPI,Cancelled,9.99,5.0
ORD_000106,CUST_00946,2025-11-01 13:08:43,UPI,Cancelled,9.99,5.0
ORD_000107,CUST_00984,2025-12-29 17:01:49,Credit Card,Refunded,9.99,0.0
ORD_000108,CUST_00396,2025-08-07 21:03:02,Apple Pay,Completed,0.0,15.0
ORD_000109,CUST_00021,2025-08-17 05:31:03,Apple Pay,Completed,9.99,0.0
ORD_000110,CUST_00282,2025-12-06 21:16:43,Buy Now Pay Later,Completed,4.99,5.0
ORD_000111,CUST_00105,2025-09-03 11:03:13,UPI,Refunded,0.0,15.0
ORD_000112,CUST_00333,2025-11-16 21:45:50,PayPal,Completed,9.99,0.0
ORD_000113,CUST_00414,2026-02-21 10:27:00,UPI,Completed,4.99,0.0
ORD_000114,CUST_00755,2025-05-01 08:09:01,PayPal,Refunded,9.99,0.0
ORD_000115,CUST_00654,2026-01-25 22:18:59,Buy Now Pay Later,Cancelled,9.99,0.0
ORD_000116,CUST_00301,2025-09-20 01:49:03,PayPal,Completed,9.99,15.0
ORD_000117,CUST_00922,2026-01-04 00:18:34,Apple Pay,Cancelled,9.99,0.0
ORD_000118,CUST_00808,2026-01-25 06:16:20,Credit Card,Completed,4.99,0.0
ORD_000119,CUST_00055,2026-02-10 02:57:17,Buy Now Pay Later,Refunded,0.0,5.0
ORD_000120,CUST_00391,2025-11-04 20:08:47,Apple Pay,Completed,0.0,0.0
ORD_000121,CUST_00584,2025-12-26 11:38:20,Apple Pay,Completed,4.99,0.0
ORD_000122,CUST_00182,2026-01-27 06:08:42,PayPal,Cancelled,0.0,0.0
ORD_000123,CUST_00783,2025-10-10 02:44:00,UPI,Completed,4.99,10.0
ORD_000124,CUST_00989,2026-02-10 12:20:18,Apple Pay,Completed,9.99,0.0
ORD_000125,CUST_00914,2025-07-06 01:14:31,PayPal,Refunded,9.99,15.0
ORD_000126,CUST_00711,2025-12-17 23:56:37,Apple Pay,Completed,9.99,10.0
ORD_000127,CUST_00067,2025-07-16 11:46:31,PayPal,Completed,4.99,0.0
ORD_000128,CUST_00769,2026-01-29 22:09:26,PayPal,Completed,9.99,0.0
ORD_000129,CUST_00604,2025-11-28 23:25:24,Apple Pay,Completed,9.99,5.0
ORD_000130,CUST_00639,2025-11-15 14:19:25,UPI,Refunded,4.99,5.0
ORD_000131,CUST_00719,2026-01-05 19:41:46,Credit Card,Completed,9.99,5.0
ORD_000132,CUST_00277,2025-11-27 11:38:03,Buy Now Pay Later,Refunded,9.99,10.0
ORD_000133,CUST_00117,2026-02-14 01:51:42,Buy Now Pay Later,Completed,4.99,0.0
ORD_000134,CUST_00367,2025-12-15 19:22:29,UPI,Completed,0.0,5.0
ORD_000135,CUST_00241,2025-07-30 20:13:14,PayPal,Completed,4.99,15.0
ORD_000136,CUST_00077,2026-01-08 13:59:40,Credit Card,Completed,4.99,0.0
ORD_000137,CUST_00896,2025-03-18 16:40:29,Credit Card,Completed,9.99,5.0
ORD_000138,CUST_00872,2025-02-18 05:47:43,Apple Pay,Completed,9.99,5.0
ORD_000139,CUST_00835,2025-08-30 22:43:25,UPI,Completed,4.99,5.0
ORD_000140,CUST_00872,2026-01-20 01:29:38,Credit Card,Completed,9.99,0.0
ORD_000141,CUST_00427,2026-01-24 19:30:03,Credit Card,Completed,9.99,0.0
ORD_000142,CUST_00495,2026-02-17 06:16:12,Apple Pay,Completed,9.99,0.0
ORD_000143,CUST_00538,2026-02-16 20:33:49,Buy Now Pay Later,Cancelled,4.99,15.0
ORD_000144,CUST_00718,2026-01-14 17:31:52,UPI,Completed,4.99,5.0
ORD_000145,CUST_00860,2026-02-24 02:23:01,Buy Now Pay Later,Refunded,0.0,15.0
ORD_000146,CUST_00077,2026-02-15 11:35:36,PayPal,Completed,9.99,0.0
ORD_000147,CUST_00659,2026-01-27 12:58:22,Credit Card,Completed,4.99,10.0
ORD_000148,CUST_00122,2026-02-21 16:59:22,Buy Now Pay Later,Cancelled,0.0,5.0
ORD_000149,CUST_00846,2025-12-01 18:06:23,UPI,Refunded,9.99,15.0
ORD_000150,CUST_00865,2026-01-19 21:59:10,Apple Pay,Completed,9.99,15.0
ORD_000151,CUST_00117,2025-05-23 03:32:47,Apple Pay,Cancelled,9.99,0.0
ORD_000152,CUST_00535,2026-01-13 14:38:36,UPI,Cancelled,0.0,5.0
ORD_000153,CUST_00261,2026-01-11 13:10:20,PayPal,Completed,4.99,0.0
ORD_000154,CUST_00347,2025-04-28 14:32:36,UPI,Completed,4.99,0.0
ORD_000155,CUST_00604,2025-11-28 19:21:35,Buy Now Pay Later,Completed,4.99,10.0
ORD_000156,CUST_00749,2025-11-16 20:18:53,Buy Now Pay Later,Completed,4.99,10.0
ORD_000157,CUST_00429,2026-02-22 11:38:33,UPI,Cancelled,4.99,0.0
ORD_000158,CUST_00423,2026-02-18 05:44:05,PayPal,Completed,0.0,15.0
ORD_000159,CUST_00298,2025-12-07 10:07:02,Apple Pay,Cancelled,9.99,10.0
ORD_000160,CUST_00119,2026-02-21 04:41:45,UPI,Completed,9.99,15.0
ORD_000161,CUST_00916,2026-01-23 15:48:45,UPI,Completed,0.0,0.0
ORD_000162,CUST_00058,2025-05-12 09:26:25,PayPal,Completed,4.99,15.0
ORD_000163,CUST_00804,2026-01-30 00:16:38,Buy Now Pay Later,Completed,0.0,5.0
ORD_000164,CUST_00576,2026-01-13 05:41:13,Apple Pay,Completed,9.99,0.0
ORD_000165,CUST_00049,2025-12-19 18:32:07,Credit Card,Completed,0.0,10.0
ORD_000166,CUST_00258,2025-10-05 06:32:56,Buy Now Pay Later,Refunded,9.99,10.0
ORD_000167,CUST_00302,2026-02-12 14:58:40,Credit Card,Completed,4.99,0.0
ORD_000168,CUST_00134,2025-11-02 23:01:49,Credit Card,Refunded,0.0,15.0
ORD_000169,CUST_00053,2025-08-23 08:35:36,Apple Pay,Completed,9.99,0.0
ORD_000170,CUST_00980,2026-02-02 15:34:52,Buy Now Pay Later,Refunded,4.99,0.0
ORD_000171,CUST_00414,2025-11-03 00:39:11,Apple Pay,Completed,4.99,15.0
ORD_000172,CUST_00301,2025-11-06 00:08:55,Apple Pay,Refunded,9.99,0.0
ORD_000173,CUST_00927,2026-02-26 19:08:03,UPI,Refunded,4.99,15.0
ORD_000174,CUST_00396,2025-10-27 05:52:00,Buy Now Pay Later,Refunded,9.99,0.0
ORD_000175,CUST_00045,2025-08-28 03:57:04,PayPal,Cancelled,0.0,0.0
ORD_000176,CUST_00547,2025-04-13 02:34:27,Credit Card,Cancelled,4.99,15.0
ORD_000177,CUST_00551,2026-02-06 21:22:17,Apple Pay,Cancelled,4.99,0.0
ORD_000178,CUST_00076,2025-10-13 17:29:34,Apple Pay,Completed,0.0,10.0
ORD_000179,CUST_00462,2026-02-02 14:53:31,Buy Now Pay Later,Completed,0.0,15.0
ORD_000180,CUST_00657,2025-11-27 19:10:56,Credit Card,Refunded,9.99,0.0
ORD_000181,CUST_00951,2026-01-28 17:03:07,Apple Pay,Completed,0.0,10.0
ORD_000182,CUST_00391,2025-09-13 12:24:57,PayPal,Cancelled,0.0,10.0
ORD_000183,CUST_00401,2026-01-26 01:48:05,PayPal,Completed,9.99,10.0
ORD_000184,CUST_00611,2026-02-10 23:05:16,Apple Pay,Refunded,9.99,0.0
ORD_000185,CUST_00928,2025-11-30 14:46:15,Apple Pay,Refunded,9.99,0.0
ORD_000186,CUST_00118,2025-06-03 13:40:26,Buy Now Pay Later,Cancelled,9.99,5.0
ORD_000187,CUST_00688,2025-04-19 15:16:42,Apple Pay,Completed,4.99,5.0
ORD_000188,CUST_00688,2025-12-04 00:51:46,Apple Pay,Completed,0.0,0.0
ORD_000189,CUST_00462,2026-01-18 20:13:53,Apple Pay,Refunded,9.99,10.0
ORD_000190,CUST_00173,2025-08-31 01:09:22,UPI,Completed,9.99,15.0
ORD_000191,CUST_00861,2025-11-01 03:02:06,Apple Pay,Completed,4.99,5.0
ORD_000192,CUST_00565,2025-12-19 18:55:45,PayPal,Completed,9.99,0.0
ORD_000193,CUST_00908,2025-03-26 22:41:44,Credit Card,Cancelled,9.99,10.0
ORD_000194,CUST_00593,2026-01-19 13:49:48,Buy Now Pay Later,Refunded,4.99,10.0
ORD_000195,CUST_00484,2025-12-17 13:37:27,PayPal,Completed,4.99,15.0
ORD_000196,CUST_00514,2026-02-02 00:58:40,PayPal,Completed,9.99,0.0
ORD_000197,CUST_00701,2025-04-13 04:49:38,Buy Now Pay Later,Refunded,9.99,0.0
ORD_000198,CUST_00894,2025-09-10 20:05:24,PayPal,Cancelled,4.99,0.0
ORD_000199,CUST_00379,2025-09-03 14:53:09,UPI,Completed,4.99,5.0
ORD_000200,CUST_00665,2025-08-11 07:05:33,Buy Now Pay Later,Completed,4.99,15.0
ORD_000201,CUST_00179,2025-09-18 21:39:02,Buy Now Pay Later,Cancelled,0.0,15.0
ORD_000202,CUST_00386,2025-11-13 22:31:27,Buy Now Pay Later,Refunded,4.99,5.0
ORD_000203,CUST_00514,2025-09-10 18:52:18,Apple Pay,Completed,9.99,10.0
ORD_000204,CUST_00154,2025-06-12 09:52:50,UPI,Completed,0.0,15.0
ORD_000205,CUST_00738,2025-06-01 06:26:13,UPI,Completed,0.0,10.0
ORD_000206,CUST_00045,2025-04-19 05:58:22,PayPal,Refunded,9.99,0.0
ORD_000207,CUST_00265,2025-08-02 17:30:52,UPI,Refunded,0.0,0.0
ORD_000208,CUST_00225,2026-02-06 02:01:04,Buy Now Pay Later,Refunded,9.99,0.0
ORD_000209,CUST_00172,2026-02-05 23:19:01,Credit Card,Cancelled,9.99,10.0
ORD_000210,CUST_00388,2025-08-14 04:01:54,UPI,Completed,9.99,10.0
ORD_000211,CUST_00621,2025-06-27 13:31:13,Buy Now Pay Later,Completed,0.0,10.0
ORD_000212,CUST_00771,2025-05-09 23:33:43,Credit Card,Completed,9.99,10.0
ORD_000213,CUST_00665,2025-09-22 00:22:21,UPI,Refunded,9.99,15.0
ORD_000214,CUST_00961,2025-11-23 23:48:08,PayPal,Completed,4.99,0.0
ORD_000215,CUST_00489,2025-12-06 23:31:55,PayPal,Completed,4.99,5.0
ORD_000216,CUST_00809,2025-08-29 17:51:03,PayPal,Refunded,9.99,5.0
ORD_000217,CUST_00419,2025-11-06 10:47:58,Buy Now Pay Later,Completed,4.99,0.0
ORD_000218,CUST_00579,2025-11-02 21:33:13,Buy Now Pay Later,Refunded,4.99,0.0
ORD_000219,CUST_00495,2026-02-02 05:47:21,Apple Pay,Completed,9.99,0.0
ORD_000220,CUST_00754,2025-09-22 05:10:18,PayPal,Cancelled,9.99,5.0
ORD_000221,CUST_00220,2025-09-08 17:14:38,Credit Card,Completed,4.99,0.0
ORD_000222,CUST_00483,2026-02-27 04:05:50,Apple Pay,Refunded,0.0,0.0
ORD_000223,CUST_00624,2025-09-03 09:26:57,Buy Now Pay Later,Cancelled,9.99,10.0
ORD_000224,CUST_00729,2026-02-13 18:33:39,Buy Now Pay Later,Completed,0.0,0.0
ORD_000225,CUST_00803,2026-02-06 09:28:32,Apple Pay,Refunded,0.0,15.0
ORD_000226,CUST_00001,2025-05-28 14:51:10,Buy Now Pay Later,Completed,0.0,10.0
ORD_000227,CUST_00942,2025-09-09 09:41:49,Apple Pay,Refunded,4.99,10.0
ORD_000228,CUST_00232,2025-11-11 15:17:39,Apple Pay,Completed,0.0,10.0
ORD_000229,CUST_00417,2026-02-09 15:53:59,Buy Now Pay Later,Completed,0.0,0.0
ORD_000230,CUST_00833,2025-12-28 00:30:47,PayPal,Cancelled,4.99,10.0
ORD_000231,CUST_00985,2026-02-03 05:12:34,Credit Card,Cancelled,4.99,0.0
ORD_000232,CUST_00070,2025-11-27 23:01:11,Apple Pay,Cancelled,4.99,0.0
ORD_000233,CUST_00010,2026-02-01 04:22:03,Apple Pay,Completed,9.99,5.0
ORD_000234,CUST_00568,2025-06-26 19:32:35,PayPal,Completed,4.99,10.0
ORD_000235,CUST_00700,2025-08-29 23:04:19,PayPal,Completed,0.0,0.0
ORD_000236,CUST_00857,2025-11-04 06:03:03,UPI,Completed,9.99,15.0
ORD_000237,CUST_00783,2026-02-22 18:41:52,UPI,Refunded,4.99,10.0
ORD_000238,CUST_00228,2026-01-23 06:13:41,Buy Now Pay Later,Refunded,4.99,5.0
ORD_000239,CUST_00515,2025-09-11 14:40:00,UPI,Completed,9.99,15.0
ORD_000240,CUST_00013,2025-12-08 04:26:00,Buy Now Pay Later,Completed,4.99,0.0
ORD_000241,CUST_00192,2025-11-21 00:17:21,PayPal,Completed,4.99,0.0
ORD_000242,CUST_00435,2025-06-25 18:47:25,UPI,Completed,4.99,5.0
ORD_000243,CUST_00135,2025-12-27 00:37:17,PayPal,Completed,4.99,5.0
ORD_000244,CUST_00154,2025-10-01 12:21:07,Buy Now Pay Later,Completed,9.99,0.0
ORD_000245,CUST_00738,2025-08-18 20:50:06,UPI,Completed,0.0,10.0
ORD_000246,CUST_00708,2025-08-03 15:05:40,Credit Card,Completed,9.99,5.0
ORD_000247,CUST_00763,2026-02-08 08:05:29,Apple Pay,Completed,4.99,10.0
ORD_000248,CUST_00422,2025-10-30 03:10:21,Apple Pay,Completed,4.99,0.0
ORD_000249,CUST_00500,2026-02-16 05:13:30,PayPal,Completed,9.99,5.0
ORD_000250,CUST_00656,2026-02-19 11:34:48,Credit Card,Completed,4.99,10.0
ORD_000251,CUST_00166,2025-09-25 05:12:38,Buy Now Pay Later,Completed,4.99,15.0
ORD_000252,CUST_00405,2025-12-08 04:52:41,UPI,Completed,4.99,10.0
ORD_000253,CUST_00875,2025-10-27 12:23:07,UPI,Completed,0.0,0.0
ORD_000254,CUST_00066,2026-02-18 13:04:44,Credit Card,Completed,0.0,10.0
ORD_000255,CUST_00160,2025-09-07 15:19:54,Apple Pay,Cancelled,9.99,0.0
ORD_000256,CUST_00135,2026-02-22 22:13:13,UPI,Completed,4.99,0.0
ORD_000257,CUST_00958,2025-11-20 12:15:35,Buy Now Pay Later,Refunded,9.99,0.0
ORD_000258,CUST_00647,2025-12-15 08:47:31,UPI,Cancelled,4.99,0.0
ORD_000259,CUST_00453,2026-01-18 03:13:01,Credit Card,Completed,0.0,0.0
ORD_000260,CUST_00835,2026-02-08 08:07:24,UPI,Completed,0.0,10.0
ORD_000261,CUST_00307,2025-07-01 08:34:56,Apple Pay,Completed,9.99,0.0
ORD_000262,CUST_00904,2025-10-19 18:25:07,UPI,Completed,9.99,15.0
ORD_000263,CUST_00226,2025-12-04 14:16:52,Apple Pay,Completed,9.99,10.0
ORD_000264,CUST_00665,2026-01-20 23:06:40,Apple Pay,Refunded,0.0,0.0
ORD_000265,CUST_00633,2025-08-17 01:25:01,PayPal,Completed,0.0,0.0
ORD_000266,CUST_00023,2026-01-06 05:26:47,Credit Card,Completed,4.99,15.0
ORD_000267,CUST_00093,2025-09-17 17:16:17,UPI,Completed,4.99,5.0
ORD_000268,CUST_00475,2025-02-18 11:06:45,UPI,Completed,4.99,0.0
ORD_000269,CUST_00557,2025-10-30 09:33:55,Credit Card,Completed,0.0,5.0
ORD_000270,CUST_00255,2026-02-04 21:53:41,Credit Card,Completed,4.99,0.0
ORD_000271,CUST_00682,2025-05-08 11:43:40,Credit Card,Completed,0.0,0.0
ORD_000272,CUST_00960,2026-01-04 14:59:56,PayPal,Refunded,4.99,15.0
ORD_000273,CUST_00909,2025-02-22 14:52:09,UPI,Cancelled,9.99,0.0
ORD_000274,CUST_00016,2026-01-09 02:16:41,Buy Now Pay Later,Completed,0.0,0.0
ORD_000275,CUST_00705,2025-09-23 14:45:41,Buy Now Pay Later,Completed,0.0,5.0
ORD_000276,CUST_00062,2025-06-29 10:52:19,PayPal,Completed,4.99,0.0
ORD_000277,CUST_00808,2025-10-23 04:49:38,Apple Pay,Completed,4.99,15.0
ORD_000278,CUST_00921,2025-10-12 00:49:52,UPI,Completed,9.99,10.0
ORD_000279,CUST_00192,2025-12-23 22:49:41,Buy Now Pay Later,Completed,0.0,0.0
ORD_000280,CUST_00303,2025-12-30 18:35:56,UPI,Refunded,9.99,15.0
ORD_000281,CUST_00190,2026-02-24 06:14:01,Credit Card,Completed,9.99,0.0
ORD_000282,CUST_00839,2025-09-19 18:14:39,Apple Pay,Completed,9.99,0.0
ORD_000283,CUST_00657,2025-06-26 03:06:54,PayPal,Completed,0.0,0.0
ORD_000284,CUST_00207,2025-04-16 16:42:52,UPI,Completed,9.99,10.0
ORD_000285,CUST_00502,2025-12-04 16:57:30,Buy Now Pay Later,Refunded,0.0,0.0
ORD_000286,CUST_00014,2025-06-06 04:30:14,Credit Card,Cancelled,9.99,5.0
ORD_000287,CUST_00572,2026-02-18 06:09:01,Credit Card,Completed,9.99,0.0
ORD_000288,CUST_00984,2026-01-07 10:17:36,PayPal,Completed,4.99,10.0
ORD_000289,CUST_00539,2025-10-23 18:41:48,UPI,Completed,9.99,15.0
ORD_000290,CUST_00785,2026-02-13 23:51:21,UPI,Refunded,9.99,15.0
ORD_000291,CUST_00171,2026-01-09 14:58:50,Buy Now Pay Later,Completed,0.0,15.0
ORD_000292,CUST_00956,2025-12-30 04:53:08,UPI,Completed,9.99,5.0
ORD_000293,CUST_00624,2025-10-12 19:20:42,Apple Pay,Refunded,4.99,15.0
ORD_000294,CUST_00983,2025-09-02 08:50:29,Apple Pay,Completed,0.0,10.0
ORD_000295,CUST_00228,2025-10-11 07:19:56,Buy Now Pay Later,Completed,9.99,10.0
ORD_000296,CUST_00949,2025-11-24 05:30:58,PayPal,Completed,0.0,0.0
ORD_000297,CUST_00376,2026-01-17 10:51:08,UPI,Completed,9.99,0.0
ORD_000298,CUST_00940,2025-08-05 03:55:01,UPI,Cancelled,0.0,5.0
ORD_000299,CUST_00720,2025-11-29 08:34:55,UPI,Completed,9.99,15.0
ORD_000300,CUST_00944,2026-02-17 11:17:00,PayPal,Completed,0.0,5.0
ORD_000301,CUST_00669,2026-01-27 03:45:55,Apple Pay,Refunded,0.0,10.0
ORD_000302,CUST_00335,2025-11-04 11:02:38,UPI,Cancelled,9.99,15.0
